case	op	input_bytes	allocs	alloc_bytes	peak_live_bytes	wall_micros
case9.m	parse_matpower	2235	23	14162	13393	104
case9.m	indexed_build	2235	5	568	568	5
case9.m	network_clone	2235	8	6821	6821	9
case9.m	ybus	2235	22	5688	2664	13
case9.m	dc_incidence	2235	17	2976	2424	2
case9.m	ptdf	2235	124	15425	3713	28
case9.m	ptdf_lodf	2235	150	21598	5505	18
case118.m	parse_matpower	33696	198	197539	191336	151
case118.m	indexed_build	33696	5	8136	8136	2
case118.m	network_clone	33696	178	134023	134023	15
case118.m	ybus	33696	30	98672	48976	41
case118.m	dc_incidence	33696	25	50992	42280	17
case118.m	ptdf	33696	153	1035722	497200	1133
case118.m	ptdf_lodf	33696	200	4034248	2371250	2448
case2869pegase.m	parse_matpower	464524	530	3938861	3909185	2164
case2869pegase.m	indexed_build	464524	5	161448	161448	56
case2869pegase.m	network_clone	464524	516	3072838	3072838	278
case2869pegase.m	ybus	464524	40	2798440	1393000	850
case2869pegase.m	dc_incidence	464524	35	1485216	1206680	386
case2869pegase.m	ptdf	464524	187	461388821	258688048	20487995
case2869pegase.m	ptdf_lodf	464524	256	1876534039	1103167750	21418358
case_ACTIVSg2000.m	parse_matpower	659546	2576	3251826	3183422	4558
case_ACTIVSg2000.m	indexed_build	659546	5	133640	133640	30
case_ACTIVSg2000.m	network_clone	659546	2550	2044571	2044571	106
case_ACTIVSg2000.m	ybus	659546	38	2126080	1290144	544
case_ACTIVSg2000.m	dc_incidence	659546	33	839504	700232	249
case_ACTIVSg2000.m	ptdf	659546	181	238469068	139127440	7561759
case_ACTIVSg2000.m	ptdf_lodf	659546	249	1311018606	641076350	7966750
case9241pegase.m	parse_matpower	1530051	1465	13143932	13061896	9553
case9241pegase.m	indexed_build	1530051	5	574248	574248	192
case9241pegase.m	network_clone	1530051	1451	10362022	10362022	570
case9241pegase.m	ybus	1530051	44	10699344	5322312	3391
case9241pegase.m	dc_incidence	1530051	37	4244480	3130360	1880
case_ACTIVSg10k.m	parse_matpower	2913834	12520	14631463	14343772	10797
case_ACTIVSg10k.m	indexed_build	2913834	5	598536	598536	180
case_ACTIVSg10k.m	network_clone	2913834	12491	8578193	8578193	423
case_ACTIVSg10k.m	ybus	2913834	44	10516848	5282832	2932
case_ACTIVSg10k.m	dc_incidence	2913834	37	3378640	2821576	1458
case_ACTIVSg25k.m	parse_matpower	7075994	29870	35684840	35118149	28252
case_ACTIVSg25k.m	indexed_build	7075994	5	1357064	1357064	601
case_ACTIVSg25k.m	network_clone	7075994	29840	20726682	20726682	1800
case_ACTIVSg25k.m	ybus	7075994	46	22421904	11210912	8266
case_ACTIVSg25k.m	dc_incidence	7075994	39	8605808	6377576	3607
case99k.m	parse_matpower	28945158	12711	131610609	130898461	98545
case99k.m	indexed_build	28945158	5	5408904	5408904	3124
case99k.m	network_clone	28945158	12695	81601199	81601199	3429
case99k.m	ybus	28945158	50	89151056	44558368	40785
case99k.m	dc_incidence	28945158	43	33352144	24439240	16503
case14.raw	parse	8806	2581	105458	33204	4999
pandapower-example.json	parse	101096	6705	573984	441771	782
pypsa-example	parse	1864	507	31443	12569	943
ieee13.dss	dist_parse	8354	7239	355055	204062	887
ieee13.dss	dist_network_clone	8354	1662	98851	98851	33
ieee123.dss	dist_parse	17096	22401	1116019	727891	1327
ieee123.dss	dist_network_clone	17096	5196	348860	348860	76
bmopf-ieee13.json	dist_parse	6636	868	69552	65838	203
bmopf-ieee13.json	dist_network_clone	6636	258	14763	14763	5
bmopf-enwl.json	dist_parse	235742	34613	2166173	2070514	1413
bmopf-enwl.json	dist_network_clone	235742	10661	485239	485239	98
